Precision,tc,m,k,n,CUBLAS GFLOPS,TSM2 GFLOPS,Speedup
Single,25600,25600,32,16,10.0787,25.6,2.5400101203528234
Double,25600,25600,32,16,14.0659,18.8235,1.3382364441663883
Single,12800,25600,32,16,10.8475,22.8571,2.1071306752707994
Double,12800,25600,32,16,13.3333,20.3175,1.5238163095407737
Single,6400,25600,32,16,9.84615,20.6452,2.096778944054275
Double,6400,25600,32,16,12.1905,17.5342,1.4383495344735653
Single,3200,25600,32,16,10.9402,13.1959,1.2061845304473409
Double,3200,25600,32,16,14.7126,12.4272,0.8446637575955303
Single,1600,25600,32,16,10.5785,9.77099,0.9236649808573993
Double,1600,25600,32,16,15.2381,7.66467,0.5029938115644339
Single,800,25600,32,16,10.5785,5.81818,0.5500004726568039
Double,800,25600,32,16,13.913,4.26667,0.30666786458707684
Single,400,25600,32,16,10.0,3.24051,0.324051
Double,400,25600,32,16,14.8837,2.36599,0.1589651766697797
Single,200,25600,32,16,10.3226,1.32231,0.12809854106523552
Double,200,25600,32,16,13.0612,0.887041,0.06791420390163232
Single,100,25600,32,16,10.7563,1.32095,0.12280709909541386
Double,100,25600,32,16,14.0659,0.888272,0.06315074044319952
Single,50,25600,32,16,9.27536,1.32368,0.14270928567732144
Double,50,25600,32,16,14.2222,0.890125,0.06258701185470603
Single,25,25600,32,16,10.1587,1.32231,0.13016527705316627
Double,25,25600,32,16,11.9626,0.887656,0.07420259809740358
Single,12,25600,32,16,10.1587,1.32095,0.1300314016557237
Double,12,25600,32,16,15.0588,0.889507,0.059068916513932056
Single,25600,25600,32,32,18.963,38.7879,2.045451669039709
Double,25600,25600,32,32,26.1224,21.157,0.8099179248461091
Single,12800,25600,32,32,18.5507,39.3846,2.123078913464182
Double,12800,25600,32,32,25.6,22.8571,0.8928554687499999
Single,6400,25600,32,32,20.0,30.1176,1.5058799999999999
Double,6400,25600,32,32,25.3465,16.3057,0.6433116998402147
Single,3200,25600,32,32,18.8235,20.0,1.062501660158844
Double,3200,25600,32,32,25.098,10.9402,0.435899274842617
Single,1600,25600,32,32,20.48,11.5837,0.5656103515625001
Double,1600,25600,32,32,27.8261,5.79186,0.20814487118209163
Single,800,25600,32,32,18.6861,6.30542,0.33743905897966936
Double,800,25600,32,32,27.234,3.07692,0.11298083278255121
Single,400,25600,32,32,18.963,3.39523,0.1790449823340189
Double,400,25600,32,32,27.5269,1.60401,0.058270637085905054
Single,200,25600,32,32,19.3939,1.35092,0.06965695399068779
Double,200,25600,32,32,22.2609,0.555315,0.024945756910097976
Single,100,25600,32,32,18.156,1.3495,0.0743280458250716
Double,100,25600,32,32,24.6154,0.555676,0.02257432339104788
Single,50,25600,32,32,20.0,1.3495,0.067475
Double,50,25600,32,32,24.6154,0.555676,0.02257432339104788
Single,25,25600,32,32,20.6452,1.35021,0.06540067424873579
Double,25,25600,32,32,24.8544,0.555917,0.022366945088193643
Single,12,25600,32,32,19.6923,1.3495,0.06852932364426705
Double,12,25600,32,32,25.098,0.555435,0.022130647860387282
Single,512000,512000,32,16,68.0851,100.787,1.4803092012789878
Double,512000,512000,32,16,32.0802,64.3216,2.0050249063285146
Single,256000,512000,32,16,67.9045,98.0843,1.4444447717014337
Double,256000,512000,32,16,31.8012,62.2871,1.9586399255374012
Single,128000,512000,32,16,70.5234,101.186,1.434786184443745
Double,128000,512000,32,16,31.7618,62.8993,1.980344312979743
Single,64000,512000,32,16,68.6327,94.8148,1.3814814221209424
Double,64000,512000,32,16,32.3232,59.3968,1.8375903375903375
Single,32000,512000,32,16,71.1111,93.4307,1.3138694240420976
Double,32000,512000,32,16,31.7224,61.0979,1.9260175774846797
Single,16000,512000,32,16,67.0157,86.7797,1.2949159674524031
Double,16000,512000,32,16,32.3232,62.439,1.931708494208494
Single,8000,512000,32,16,68.0851,58.9862,0.86635989372124
Double,8000,512000,32,16,32.3232,42.6667,1.3200023512523513
Single,4000,512000,32,16,68.2667,32.3232,0.4734841438065704
Double,4000,512000,32,16,31.9202,23.5294,0.7371319728573129
Single,2000,512000,32,16,69.0027,16.2954,0.23615597650526718
Double,2000,512000,32,16,31.644,11.7539,0.3714416635065099
Single,1000,512000,32,16,70.7182,7.75053,0.10959738794256642
